"Year","Age","Sex","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus [HIV] disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2000,"All ages","Females","Age-specific mortality rate per 100,000 population",0,0,0.2,0,0,0.1,4.5,0,0,0,0,0.3,0.5,0,188.7,4.5,1.7,21.8,1,0.1,4.3,22.3,168.7,4.3,58.9,5.1,5,17.6,0.3,27.7,0,2.1,1.3,0.1,0.7,4.7,1.2,10,0.5,0,0.1,0.1,2.5,2.7,21.3,5.2,0.8,0,0,0.5,92.7
2000,"All ages","Females","Rank of leading causes of death",39,43,32,39,41,35,15,41,43,43,43,30,29,43,1,14,21,6,24,33,17,5,2,16,3,11,12,8,30,4,38,20,22,34,26,13,23,9,28,0,36,37,19,18,7,10,25,43,43,27,0
2000,"1 to 14 years","Both sexes","Number of deaths",0,0,0,0,0,3,11,0,0,0,0,1,2,0,127,13,5,3,0,6,0,0,29,0,8,0,1,7,1,5,0,6,0,0,0,0,0,0,0,0,0,0,7,95,289,46,20,0,0,4,194
2000,"1 to 14 years","Both sexes","Percentage of deaths",0,0,0,0,0,0.3,1.2,0,0,0,0,0.1,0.2,0,14.4,1.5,0.6,0.3,0,0.7,0,0,3.3,0,0.9,0,0.1,0.8,0.1,0.6,0,0.7,0,0,0,0,0,0,0,0,0,0,0.8,10.8,32.7,5.2,2.3,0,0,0.5,22
2000,"1 to 14 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,2.3,0.2,0.1,0.1,0,0.1,0,0,0.5,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.7,5.2,0.8,0.4,0,0,0.1,3.5
2000,"1 to 14 years","Both sexes","Rank of leading causes of death",23,23,23,23,23,17,8,23,23,23,23,20,19,23,2,7,14,17,23,12,23,23,5,23,9,23,20,10,20,14,23,12,23,23,23,23,23,23,23,23,23,23,10,3,1,4,6,23,23,16,0
2000,"1 to 14 years","Males","Number of deaths",0,0,0,0,0,1,4,0,0,0,0,1,1,0,76,5,2,2,0,2,0,0,17,0,2,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,60,191,29,10,0,0,2,93
2000,"1 to 14 years","Males","Percentage of deaths",0,0,0,0,0,0.2,0.8,0,0,0,0,0.2,0.2,0,14.9,1,0.4,0.4,0,0.4,0,0,3.3,0,0.4,0,0.2,0.8,0.2,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,11.8,37.5,5.7,2,0,0,0.4,18.2
2000,"1 to 14 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.7,0.2,0.1,0.1,0,0.1,0,0,0.6,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,2.1,6.7,1,0.4,0,0,0.1,3.3
2000,"1 to 14 years","Males","Rank of leading causes of death",23,23,23,23,23,17,8,23,23,23,23,17,17,23,2,7,11,11,23,11,23,23,5,23,11,23,17,8,17,17,23,11,23,23,23,23,23,23,23,23,0,0,10,3,1,4,6,23,23,11,0
2000,"1 to 14 years","Females","Number of deaths",0,0,0,0,0,2,7,0,0,0,0,0,1,0,51,8,3,1,0,4,0,0,12,0,6,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,35,98,17,10,0,0,2,101
2000,"1 to 14 years","Females","Percentage of deaths",0,0,0,0,0,0.5,1.9,0,0,0,0,0,0.3,0,13.7,2.1,0.8,0.3,0,1.1,0,0,3.2,0,1.6,0,0,0.8,0,1.1,0,1.1,0,0,0,0,0,0,0,0,0,0,1.1,9.4,26.3,4.6,2.7,0,0,0.5,27.1
2000,"1 to 14 years","Females","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,1.9,0.3,0.1,0,0,0.1,0,0,0.4,0,0.2,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.3,3.6,0.6,0.4,0,0,0.1,3.7
2000,"1 to 14 years","Females","Rank of leading causes of death",20,20,20,20,20,16,8,20,20,20,20,20,18,20,2,7,14,18,20,10,20,20,5,20,9,20,20,14,20,10,20,10,20,20,20,20,20,20,20,0,20,20,10,3,1,4,6,20,20,16,0
2000,"1 to 4 years","Both sexes","Number of deaths",0,0,0,0,0,1,5,0,0,0,0,0,0,0,33,4,2,0,0,4,0,0,14,0,1,0,1,5,1,3,0,3,0,0,0,0,0,0,0,0,0,0,4,52,76,0,11,0,0,2,78
2000,"1 to 4 years","Both sexes","Percentage of deaths",0,0,0,0,0,0.3,1.7,0,0,0,0,0,0,0,11,1.3,0.7,0,0,1.3,0,0,4.7,0,0.3,0,0.3,1.7,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3,17.3,25.3,0,3.7,0,0,0.7,26
2000,"1 to 4 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,2.3,0.3,0.1,0,0,0.3,0,0,1,0,0.1,0,0.1,0.3,0.1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.3,3.6,5.2,0,0.8,0,0,0.1,5.4
2000,"1 to 4 years","Both sexes","Rank of leading causes of death",19,19,19,19,19,15,6,19,19,19,19,19,19,19,3,8,13,19,19,8,19,19,4,19,15,19,15,6,15,11,19,11,19,19,19,19,19,19,19,19,19,19,8,2,1,19,5,19,19,13,0
2000,"1 to 4 years","Males","Number of deaths",0,0,0,0,0,1,3,0,0,0,0,0,0,0,17,1,2,0,0,2,0,0,9,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,32,48,0,7,0,0,1,37
2000,"1 to 4 years","Males","Percentage of deaths",0,0,0,0,0,0.6,1.8,0,0,0,0,0,0,0,10,0.6,1.2,0,0,1.2,0,0,5.3,0,0,0,0.6,1.2,0.6,0.6,0,1.2,0,0,0,0,0,0,0,0,0,0,1.8,18.8,28.2,0,4.1,0,0,0.6,21.8
2000,"1 to 4 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,2.3,0.1,0.3,0,0,0.3,0,0,1.2,0,0,0,0.1,0.3,0.1,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,4.3,6.5,0,0.9,0,0,0.1,5
2000,"1 to 4 years","Males","Rank of leading causes of death",18,18,18,18,18,12,6,18,18,18,18,18,18,18,3,12,8,18,18,8,18,18,4,18,18,18,12,8,12,12,18,8,18,18,18,18,18,18,18,18,0,0,6,2,1,18,5,18,18,12,0
2000,"1 to 4 years","Females","Number of deaths",0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,3,0,0,0,2,0,0,5,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,20,28,0,4,0,0,1,41
2000,"1 to 4 years","Females","Percentage of deaths",0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,12.3,2.3,0,0,0,1.5,0,0,3.8,0,0.8,0,0,2.3,0,1.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0.8,15.4,21.5,0,3.1,0,0,0.8,31.5
2000,"1 to 4 years","Females","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2.3,0.4,0,0,0,0.3,0,0,0.7,0,0.1,0,0,0.4,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,2.8,3.9,0,0.6,0,0,0.1,5.8
2000,"1 to 4 years","Females","Rank of leading causes of death",15,15,15,15,15,15,8,15,15,15,15,15,15,15,3,6,15,15,15,8,15,15,4,15,11,15,15,6,15,8,15,11,15,15,15,15,15,15,15,0,15,15,11,2,1,15,5,15,15,11,0
2000,"5 to 9 years","Both sexes","Number of deaths",0,0,0,0,0,2,3,0,0,0,0,0,2,0,53,5,1,0,0,1,0,0,5,0,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,24,86,0,4,0,0,2,57
2000,"5 to 9 years","Both sexes","Percentage of deaths",0,0,0,0,0,0.8,1.2,0,0,0,0,0,0.8,0,20.9,2,0.4,0,0,0.4,0,0,2,0,1.2,0,0,0.4,0,0.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0.8,9.4,33.9,0,1.6,0,0,0.8,22.4
2000,"5 to 9 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,2.6,0.2,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.2,4.2,0,0.2,0,0,0.1,2.8
2000,"5 to 9 years","Both sexes","Rank of leading causes of death",18,18,18,18,18,9,7,18,18,18,18,18,9,18,2,4,14,18,18,14,18,18,4,18,7,18,18,14,18,14,18,9,18,18,18,18,18,18,18,18,18,18,9,3,1,18,6,18,18,9,0
2000,"5 to 9 years","Males","Number of deaths",0,0,0,0,0,0,1,0,0,0,0,0,1,0,33,3,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,1,0,0,1,29
2000,"5 to 9 years","Males","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0,0.7,0,22,2,0,0,0,0,0,0,2.7,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0.7,0,0,0.7,19.3
2000,"5 to 9 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,3.1,0.3,0,0,0,0,0,0,0.4,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.7,0,0.1,0,0,0.1,2.8
2000,"5 to 9 years","Males","Rank of leading causes of death",12,12,12,12,12,12,6,12,12,12,12,12,6,12,2,5,12,12,12,12,12,12,4,12,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,0,0,12,3,1,12,6,12,12,6,0
2000,"5 to 9 years","Females","Number of deaths",0,0,0,0,0,2,2,0,0,0,0,0,1,0,20,2,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,9,26,0,3,0,0,1,28
2000,"5 to 9 years","Females","Percentage of deaths",0,0,0,0,0,1.9,1.9,0,0,0,0,0,1,0,19.2,1.9,1,0,0,1,0,0,1,0,1.9,0,0,0,0,1,0,1.9,0,0,0,0,0,0,0,0,0,0,1.9,8.7,25,0,2.9,0,0,1,26.9
2000,"5 to 9 years","Females","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.1,0,2,0.2,0.1,0,0,0.1,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.9,2.6,0,0.3,0,0,0.1,2.8
2000,"5 to 9 years","Females","Rank of leading causes of death",17,17,17,17,17,5,5,17,17,17,17,17,11,17,2,5,11,17,17,11,17,17,11,17,5,17,17,17,17,11,17,5,17,17,17,17,17,17,17,0,17,17,5,3,1,17,4,17,17,11,0
2000,"10 to 14 years","Both sexes","Number of deaths",0,0,0,0,0,0,3,0,0,0,0,1,0,0,41,4,2,3,0,1,0,0,10,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,19,127,46,5,0,0,0,59
2000,"10 to 14 years","Both sexes","Percentage of deaths",0,0,0,0,0,0,0.9,0,0,0,0,0.3,0,0,12.5,1.2,0.6,0.9,0,0.3,0,0,3,0,1.2,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,5.8,38.6,14,1.5,0,0,0,17.9
2000,"10 to 14 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.2,0.1,0.1,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,6.2,2.2,0.2,0,0,0,2.9
2000,"10 to 14 years","Both sexes","Rank of leading causes of death",18,18,18,18,18,18,9,18,18,18,18,12,18,18,3,7,11,9,18,12,18,18,5,18,7,18,18,12,18,12,18,12,18,18,18,18,18,18,18,18,18,18,12,4,1,2,6,18,18,18,0
2000,"10 to 14 years","Males","Number of deaths",0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,1,0,2,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,83,29,2,0,0,0,27
2000,"10 to 14 years","Males","Percentage of deaths",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,13.7,0.5,0,1.1,0,0,0,0,2.1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,43.7,15.3,1.1,0,0,0,14.2
2000,"10 to 14 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2.5,0.1,0,0.2,0,0,0,0,0.4,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,7.9,2.8,0.2,0,0,0,2.6
2000,"10 to 14 years","Males","Rank of leading causes of death",12,12,12,12,12,12,12,12,12,12,12,8,12,12,3,8,12,6,12,12,12,12,5,12,8,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,0,0,12,4,1,2,6,12,12,12,0
2000,"10 to 14 years","Females","Number of deaths",0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,3,2,1,0,1,0,0,6,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,44,17,3,0,0,0,32
2000,"10 to 14 years","Females","Percentage of deaths",0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,10.8,2.2,1.4,0.7,0,0.7,0,0,4.3,0,2.2,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0.7,4.3,31.7,12.2,2.2,0,0,0,23
2000,"10 to 14 years","Females","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,1.5,0.3,0.2,0.1,0,0.1,0,0,0.6,0,0.3,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.6,4.4,1.7,0.3,0,0,0,3.2
2000,"10 to 14 years","Females","Rank of leading causes of death",16,16,16,16,16,16,6,16,16,16,16,16,16,16,3,6,10,11,16,11,16,16,4,16,6,16,16,16,16,11,16,11,16,16,16,16,16,16,16,0,16,16,11,4,1,2,6,16,16,16,0
2000,"15 to 24","Both sexes","Number of deaths",0,0,0,0,0,8,4,0,0,0,0,1,4,0,195,14,2,8,0,2,0,0,62,1,15,0,6,10,0,18,0,4,1,0,1,2,0,2,2,0,0,3,0,53,1018,542,91,1,0,2,295
2000,"15 to 24","Both sexes","Percentage of deaths",0,0,0,0,0,0.3,0.2,0,0,0,0,0,0.2,0,8.2,0.6,0.1,0.3,0,0.1,0,0,2.6,0,0.6,0,0.3,0.4,0,0.8,0,0.2,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0,2.2,43,22.9,3.8,0,0,0.1,12.5
2000,"15 to 24","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.1,0,4.7,0.3,0,0.2,0,0,0,0,1.5,0,0.4,0,0.1,0.2,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,1.3,24.5,13,2.2,0,0,0,7.1
2000,"15 to 24","Both sexes","Rank of leading causes of death",29,29,29,29,29,11,14,29,29,29,29,24,14,29,3,9,18,11,29,18,29,29,5,24,8,29,13,10,29,7,29,14,24,29,24,18,29,18,18,29,29,17,29,6,1,2,4,24,29,18,0
2000,"15 to 24","Males","Number of deaths",0,0,0,0,0,3,1,0,0,0,0,0,2,0,119,5,1,4,0,0,0,0,35,0,8,0,5,3,0,10,0,4,0,0,1,0,0,1,1,0,0,0,0,28,748,430,69,1,0,1,190
2000,"15 to 24","Males","Percentage of deaths",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.1,0,7.1,0.3,0.1,0.2,0,0,0,0,2.1,0,0.5,0,0.3,0.2,0,0.6,0,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,1.7,44.8,25.7,4.1,0.1,0,0.1,11.4
2000,"15 to 24","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,5.6,0.2,0,0.2,0,0,0,0,1.6,0,0.4,0,0.2,0.1,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.3,35.1,20.2,3.2,0,0,0,8.9
2000,"15 to 24","Males","Rank of leading causes of death",23,23,23,23,23,13,16,23,23,23,23,23,15,23,3,9,16,11,23,23,23,23,5,23,8,23,9,13,23,7,23,11,23,23,16,23,23,16,16,23,0,0,23,6,1,2,4,16,23,16,0
2000,"15 to 24","Females","Number of deaths",0,0,0,0,0,5,3,0,0,0,0,1,2,0,76,9,1,4,0,2,0,0,27,1,7,0,1,7,0,8,0,0,1,0,0,2,0,1,1,0,0,3,0,25,270,112,22,0,0,1,105
2000,"15 to 24","Females","Percentage of deaths",0,0,0,0,0,0.7,0.4,0,0,0,0,0.1,0.3,0,10.9,1.3,0.1,0.6,0,0.3,0,0,3.9,0.1,1,0,0.1,1,0,1.1,0,0,0.1,0,0,0.3,0,0.1,0.1,0,0,0.4,0,3.6,38.7,16.1,3.2,0,0,0.1,15.1
2000,"15 to 24","Females","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.1,0,3.7,0.4,0,0.2,0,0.1,0,0,1.3,0,0.3,0,0,0.3,0,0.4,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,1.2,13.3,5.5,1.1,0,0,0,5.2
2000,"15 to 24","Females","Rank of leading causes of death",26,26,26,26,26,11,13,26,26,26,26,18,15,26,3,7,18,12,26,15,26,26,4,18,9,26,18,9,26,8,26,26,18,26,26,15,26,18,18,0,26,13,26,5,1,2,6,26,26,18,0
2000,"15 to 19 years","Both sexes","Number of deaths",0,0,0,0,0,7,1,0,0,0,0,0,1,0,82,6,1,3,0,1,0,0,26,0,5,0,0,3,0,5,0,2,0,0,0,0,0,1,0,0,0,1,0,22,502,225,41,0,0,1,113
2000,"15 to 19 years","Both sexes","Percentage of deaths",0,0,0,0,0,0.7,0.1,0,0,0,0,0,0.1,0,7.8,0.6,0.1,0.3,0,0.1,0,0,2.5,0,0.5,0,0,0.3,0,0.5,0,0.2,0,0,0,0,0,0.1,0,0,0,0.1,0,2.1,47.9,21.4,3.9,0,0,0.1,10.8
2000,"15 to 19 years","Both sexes","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,4,0.3,0,0.1,0,0,0,0,1.3,0,0.2,0,0,0.1,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.1,24.2,10.9,2,0,0,0,5.5
2000,"15 to 19 years","Both sexes","Rank of leading causes of death",21,21,21,21,21,7,14,21,21,21,21,21,14,21,3,8,14,11,21,14,21,21,5,21,9,21,21,11,21,9,21,13,21,21,21,21,21,14,21,21,21,14,21,6,1,2,4,21,21,14,0
2000,"15 to 19 years","Males","Number of deaths",0,0,0,0,0,3,0,0,0,0,0,0,1,0,43,1,1,2,0,0,0,0,14,0,3,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,15,350,173,30,0,0,0,69
2000,"15 to 19 years","Males","Percentage of deaths",0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,6,0.1,0.1,0.3,0,0,0,0,2,0,0.4,0,0,0.3,0,0.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.1,49.2,24.3,4.2,0,0,0,9.7
2000,"15 to 19 years","Males","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,4,0.1,0.1,0.2,0,0,0,0,1.3,0,0.3,0,0,0.2,0,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.4,32.9,16.3,2.8,0,0,0,6.5
2000,"15 to 19 years","Males","Rank of leading causes of death",16,16,16,16,16,7,16,16,16,16,16,16,13,16,3,13,13,10,16,16,16,16,6,16,7,16,16,10,16,7,16,10,16,16,16,16,16,16,16,16,0,0,16,5,1,2,4,16,16,16,0
