"Year","Age","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus (HIV) disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2000,"1 to 4 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,2.3,0.1,0.3,0,0,0.3,0,0,1.2,0,0,0,0.1,0.3,0.1,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,4.3,6.5,0,0.9,0,0,0.1,5
2000,"1 to 4 years","Rank of leading causes of death",18,18,18,18,18,12,6,18,18,18,18,18,18,18,3,12,8,18,18,8,18,18,4,18,18,18,12,8,12,12,18,8,18,18,18,18,18,18,18,18,0,0,6,2,1,18,5,18,18,12,0
2000,"5 to 9 years","Number of deaths",0,0,0,0,0,0,1,0,0,0,0,0,1,0,33,3,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,1,0,0,1,29
2000,"5 to 9 years","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0,0.7,0,22,2,0,0,0,0,0,0,2.7,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0.7,0,0,0.7,19.3
2000,"5 to 9 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,3.1,0.3,0,0,0,0,0,0,0.4,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.7,0,0.1,0,0,0.1,2.8
2000,"5 to 9 years","Rank of leading causes of death",12,12,12,12,12,12,6,12,12,12,12,12,6,12,2,5,12,12,12,12,12,12,4,12,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,0,0,12,3,1,12,6,12,12,6,0
2000,"10 to 14 years","Number of deaths",0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,1,0,2,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,83,29,2,0,0,0,27
2000,"10 to 14 years","Percentage of deaths",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,13.7,0.5,0,1.1,0,0,0,0,2.1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,43.7,15.3,1.1,0,0,0,14.2
2000,"10 to 14 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2.5,0.1,0,0.2,0,0,0,0,0.4,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,7.9,2.8,0.2,0,0,0,2.6
2000,"10 to 14 years","Rank of leading causes of death",12,12,12,12,12,12,12,12,12,12,12,8,12,12,3,8,12,6,12,12,12,12,5,12,8,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,0,0,12,4,1,2,6,12,12,12,0
2000,"15 to 24","Number of deaths",0,0,0,0,0,3,1,0,0,0,0,0,2,0,119,5,1,4,0,0,0,0,35,0,8,0,5,3,0,10,0,4,0,0,1,0,0,1,1,0,0,0,0,28,748,430,69,1,0,1,190
2000,"15 to 24","Percentage of deaths",0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.1,0,7.1,0.3,0.1,0.2,0,0,0,0,2.1,0,0.5,0,0.3,0.2,0,0.6,0,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,1.7,44.8,25.7,4.1,0.1,0,0.1,11.4
2000,"15 to 24","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,5.6,0.2,0,0.2,0,0,0,0,1.6,0,0.4,0,0.2,0.1,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.3,35.1,20.2,3.2,0,0,0,8.9
2000,"15 to 24","Rank of leading causes of death",23,23,23,23,23,13,16,23,23,23,23,23,15,23,3,9,16,11,23,23,23,23,5,23,8,23,9,13,23,7,23,11,23,23,16,23,23,16,16,23,0,0,23,6,1,2,4,16,23,16,0
2000,"15 to 19 years","Number of deaths",0,0,0,0,0,3,0,0,0,0,0,0,1,0,43,1,1,2,0,0,0,0,14,0,3,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,15,350,173,30,0,0,0,69
2000,"15 to 19 years","Percentage of deaths",0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,6,0.1,0.1,0.3,0,0,0,0,2,0,0.4,0,0,0.3,0,0.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2.1,49.2,24.3,4.2,0,0,0,9.7
2000,"15 to 19 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,4,0.1,0.1,0.2,0,0,0,0,1.3,0,0.3,0,0,0.2,0,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1.4,32.9,16.3,2.8,0,0,0,6.5
2000,"15 to 19 years","Rank of leading causes of death",16,16,16,16,16,7,16,16,16,16,16,16,13,16,3,13,13,10,16,16,16,16,6,16,7,16,16,10,16,7,16,10,16,16,16,16,16,16,16,16,0,0,16,5,1,2,4,16,16,16,0
2000,"20 to 24 years","Number of deaths",0,0,0,0,0,0,1,0,0,0,0,0,1,0,76,4,0,2,0,0,0,0,21,0,5,0,5,1,0,7,0,2,0,0,1,0,0,1,1,0,0,0,0,13,398,257,39,1,0,1,121
2000,"20 to 24 years","Percentage of deaths",0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,7.9,0.4,0,0.2,0,0,0,0,2.2,0,0.5,0,0.5,0.1,0,0.7,0,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,1.4,41.5,26.8,4.1,0.1,0,0.1,12.6
2000,"20 to 24 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,7.1,0.4,0,0.2,0,0,0,0,2,0,0.5,0,0.5,0.1,0,0.7,0,0.2,0,0,0.1,0,0,0.1,0.1,0,0,0,0,1.2,37.3,24.1,3.7,0.1,0,0.1,11.4
2000,"20 to 24 years","Rank of leading causes of death",21,21,21,21,21,21,13,21,21,21,21,21,13,21,3,10,21,11,21,21,21,21,5,21,8,21,8,13,21,7,21,11,21,21,13,21,21,13,13,21,0,0,21,6,1,2,4,13,21,13,0
2000,"25 to 34 years","Number of deaths",0,0,2,0,0,0,5,0,0,0,1,1,58,0,186,6,7,27,0,2,0,0,98,3,18,0,4,12,0,2,0,3,2,1,0,9,0,4,0,0,0,0,0,23,667,484,81,3,0,5,266
2000,"25 to 34 years","Percentage of deaths",0,0,0.1,0,0,0,0.3,0,0,0,0.1,0.1,2.9,0,9.4,0.3,0.4,1.4,0,0.1,0,0,4.9,0.2,0.9,0,0.2,0.6,0,0.1,0,0.2,0.1,0.1,0,0.5,0,0.2,0,0,0,0,0,1.2,33.7,24.4,4.1,0.2,0,0.3,13.4
2000,"25 to 34 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,0.2,0,0,0,0,0,2.6,0,8.4,0.3,0.3,1.2,0,0.1,0,0,4.4,0.1,0.8,0,0.2,0.5,0,0.1,0,0.1,0.1,0,0,0.4,0,0.2,0,0,0,0,0,1,30,21.8,3.6,0.1,0,0.2,12
2000,"25 to 34 years","Rank of leading causes of death",28,28,21,28,28,28,14,28,28,28,25,25,6,28,3,13,12,7,28,21,28,28,4,18,9,28,16,10,28,21,28,18,21,25,28,11,28,16,28,28,0,0,28,8,1,2,5,18,28,14,0
2000,"25 to 29 years","Number of deaths",0,0,1,0,0,0,3,0,0,0,0,0,11,0,72,1,4,8,0,0,0,0,39,0,7,0,2,4,0,1,0,2,1,1,0,1,0,2,0,0,0,0,0,8,313,218,43,1,0,3,114
2000,"25 to 29 years","Percentage of deaths",0,0,0.1,0,0,0,0.3,0,0,0,0,0,1.3,0,8.4,0.1,0.5,0.9,0,0,0,0,4.5,0,0.8,0,0.2,0.5,0,0.1,0,0.2,0.1,0.1,0,0.1,0,0.2,0,0,0,0,0,0.9,36.4,25.3,5,0.1,0,0.3,13.3
2000,"25 to 29 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,0.3,0,0,0,0,0,1,0,6.7,0.1,0.4,0.7,0,0,0,0,3.6,0,0.7,0,0.2,0.4,0,0.1,0,0.2,0.1,0.1,0,0.1,0,0.2,0,0,0,0,0,0.7,29.3,20.4,4,0.1,0,0.3,10.7
2000,"25 to 29 years","Rank of leading causes of death",24,24,17,24,24,24,12,24,24,24,24,24,6,24,3,17,10,7,24,24,24,24,5,24,9,24,14,10,24,17,24,14,17,17,24,17,24,14,24,24,0,0,24,7,1,2,4,17,24,12,0
2000,"30 to 34 years","Number of deaths",0,0,1,0,0,0,2,0,0,0,1,1,47,0,114,5,3,19,0,2,0,0,59,3,11,0,2,8,0,1,0,1,1,0,0,8,0,2,0,0,0,0,0,15,354,266,38,2,0,2,152
2000,"30 to 34 years","Percentage of deaths",0,0,0.1,0,0,0,0.2,0,0,0,0.1,0.1,4.2,0,10.2,0.4,0.3,1.7,0,0.2,0,0,5.3,0.3,1,0,0.2,0.7,0,0.1,0,0.1,0.1,0,0,0.7,0,0.2,0,0,0,0,0,1.3,31.6,23.8,3.4,0.2,0,0.2,13.6
2000,"30 to 34 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,0.2,0,0,0,0.1,0.1,4.1,0,9.9,0.4,0.3,1.6,0,0.2,0,0,5.1,0.3,1,0,0.2,0.7,0,0.1,0,0.1,0.1,0,0,0.7,0,0.2,0,0,0,0,0,1.3,30.7,23.1,3.3,0.2,0,0.2,13.2
2000,"30 to 34 years","Rank of leading causes of death",27,27,21,27,27,27,15,27,27,27,21,21,5,27,3,12,13,7,27,15,27,27,4,13,9,27,15,10,27,21,27,21,21,27,27,10,27,15,27,27,0,0,27,8,1,2,6,15,27,15,0
2000,"35 to 44 years","Number of deaths",0,0,2,0,0,1,15,0,0,0,0,18,184,0,736,15,1,89,0,1,0,0,560,2,78,2,17,27,1,13,0,9,8,0,2,101,0,15,0,0,0,0,0,31,780,731,86,4,0,5,638
2000,"35 to 44 years","Percentage of deaths",0,0,0,0,0,0,0.4,0,0,0,0,0.4,4.4,0,17.6,0.4,0,2.1,0,0,0,0,13.4,0,1.9,0,0.4,0.6,0,0.3,0,0.2,0.2,0,0,2.4,0,0.4,0,0,0,0,0,0.7,18.7,17.5,2.1,0.1,0,0.1,15.3
2000,"35 to 44 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,0.6,0,0,0,0,0.7,6.9,0,27.6,0.6,0,3.3,0,0,0,0,21,0.1,2.9,0.1,0.6,1,0,0.5,0,0.3,0.3,0,0.1,3.8,0,0.6,0,0,0,0,0,1.2,29.3,27.4,3.2,0.2,0,0.2,23.9
2000,"35 to 44 years","Rank of leading causes of death",30,30,22,30,30,26,14,30,30,30,30,12,5,30,2,14,26,7,30,26,30,30,4,22,9,22,13,11,26,17,30,18,19,30,22,6,30,14,30,30,0,0,30,10,1,3,8,21,30,20,0
2000,"35 to 39 years","Number of deaths",0,0,2,0,0,1,6,0,0,0,0,4,84,0,229,6,1,32,0,1,0,0,182,0,31,0,6,11,0,9,0,5,1,0,0,28,0,6,0,0,0,0,0,14,395,344,45,2,0,3,292
2000,"35 to 39 years","Percentage of deaths",0,0,0.1,0,0,0.1,0.3,0,0,0,0,0.2,4.8,0,13.2,0.3,0.1,1.8,0,0.1,0,0,10.5,0,1.8,0,0.3,0.6,0,0.5,0,0.3,0.1,0,0,1.6,0,0.3,0,0,0,0,0,0.8,22.7,19.8,2.6,0.1,0,0.2,16.8
2000,"35 to 39 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0.1,0.4,0,0,0,0,0.3,6.2,0,16.9,0.4,0.1,2.4,0,0.1,0,0,13.4,0,2.3,0,0.4,0.8,0,0.7,0,0.4,0.1,0,0,2.1,0,0.4,0,0,0,0,0,1,29.1,25.3,3.3,0.1,0,0.2,21.5
2000,"35 to 39 years","Rank of leading causes of death",26,26,20,26,26,22,13,26,26,26,26,18,5,26,3,13,22,7,26,22,26,26,4,26,8,26,13,11,26,12,26,17,22,26,26,9,26,13,26,26,0,0,26,10,1,2,6,20,26,19,0
2000,"40 to 44 years","Number of deaths",0,0,0,0,0,0,9,0,0,0,0,14,100,0,507,9,0,57,0,0,0,0,378,2,47,2,11,16,1,4,0,4,7,0,2,73,0,9,0,0,0,0,0,17,385,387,41,2,0,2,346
2000,"40 to 44 years","Percentage of deaths",0,0,0,0,0,0,0.4,0,0,0,0,0.6,4.1,0,20.8,0.4,0,2.3,0,0,0,0,15.5,0.1,1.9,0.1,0.5,0.7,0,0.2,0,0.2,0.3,0,0.1,3,0,0.4,0,0,0,0,0,0.7,15.8,15.9,1.7,0.1,0,0.1,14.2
2000,"40 to 44 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.7,0,0,0,0,1.1,7.7,0,38.8,0.7,0,4.4,0,0,0,0,28.9,0.2,3.6,0.2,0.8,1.2,0.1,0.3,0,0.3,0.5,0,0.2,5.6,0,0.7,0,0,0,0,0,1.3,29.5,29.6,3.1,0.2,0,0.2,26.5
2000,"40 to 44 years","Rank of leading causes of death",26,26,26,26,26,26,14,26,26,26,26,12,5,26,1,14,26,7,26,26,26,26,4,20,8,20,13,11,25,18,26,18,17,26,20,6,26,14,26,26,0,0,26,10,3,2,9,20,26,20,0
2000,"45 to 54 years","Number of deaths",0,0,2,0,0,1,40,0,0,0,0,38,125,1,2518,36,4,180,2,4,2,4,1710,6,212,11,29,68,1,71,1,9,20,1,4,265,4,42,4,0,0,0,0,39,718,523,37,3,0,5,947
2000,"45 to 54 years","Percentage of deaths",0,0,0,0,0,0,0.5,0,0,0,0,0.5,1.6,0,32.8,0.5,0.1,2.3,0,0.1,0,0.1,22.2,0.1,2.8,0.1,0.4,0.9,0,0.9,0,0.1,0.3,0,0.1,3.4,0.1,0.5,0.1,0,0,0,0,0.5,9.3,6.8,0.5,0,0,0.1,12.3
2000,"45 to 54 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,1.8,0,0,0,0,1.7,5.8,0,115.8,1.7,0.2,8.3,0.1,0.2,0.1,0.2,78.7,0.3,9.8,0.5,1.3,3.1,0,3.3,0,0.4,0.9,0,0.2,12.2,0.2,1.9,0.2,0,0,0,0,1.8,33,24.1,1.7,0.1,0,0.2,43.6
2000,"45 to 54 years","Rank of leading causes of death",38,38,30,38,38,33,12,38,38,38,38,14,8,33,1,16,23,7,30,23,30,23,2,21,6,19,17,10,33,9,33,20,18,33,23,5,23,11,23,38,0,0,38,13,3,4,15,29,38,22,0
2000,"45 to 49 years","Number of deaths",0,0,0,0,0,1,10,0,0,0,0,18,72,0,849,13,2,67,2,2,1,2,643,4,100,6,12,28,1,23,1,7,9,1,1,123,2,21,3,0,0,0,0,21,413,286,20,1,0,3,437
2000,"45 to 49 years","Percentage of deaths",0,0,0,0,0,0,0.3,0,0,0,0,0.6,2.2,0,26.5,0.4,0.1,2.1,0.1,0.1,0,0.1,20.1,0.1,3.1,0.2,0.4,0.9,0,0.7,0,0.2,0.3,0,0,3.8,0.1,0.7,0.1,0,0,0,0,0.7,12.9,8.9,0.6,0,0,0.1,13.6
2000,"45 to 49 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.9,0,0,0,0,1.6,6.2,0,73.4,1.1,0.2,5.8,0.2,0.2,0.1,0.2,55.6,0.3,8.7,0.5,1,2.4,0.1,2,0.1,0.6,0.8,0.1,0.1,10.6,0.2,1.8,0.3,0,0,0,0,1.8,35.7,24.7,1.7,0.1,0,0.3,37.8
2000,"45 to 49 years","Rank of leading causes of death",36,36,36,36,36,29,17,36,36,36,36,14,7,36,1,15,24,8,24,24,29,24,2,21,6,20,16,9,29,10,29,19,18,29,29,5,24,11,22,36,0,0,36,11,3,4,13,29,36,22,0
2000,"50 to 54 years","Number of deaths",0,0,2,0,0,0,30,0,0,0,0,20,53,1,1669,23,2,113,0,2,1,2,1067,2,112,5,17,40,0,48,0,2,11,0,3,142,2,21,1,0,0,0,0,18,305,237,17,2,0,2,510
2000,"50 to 54 years","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0.4,1.2,0,37.2,0.5,0,2.5,0,0,0,0,23.8,0,2.5,0.1,0.4,0.9,0,1.1,0,0,0.2,0,0.1,3.2,0,0.5,0,0,0,0,0,0.4,6.8,5.3,0.4,0,0,0,11.4
2000,"50 to 54 years","Age-specific mortality rate per 100,000 population",0,0,0.2,0,0,0,2.9,0,0,0,0,2,5.2,0.1,164,2.3,0.2,11.1,0,0.2,0.1,0.2,104.8,0.2,11,0.5,1.7,3.9,0,4.7,0,0.2,1.1,0,0.3,14,0.2,2.1,0.1,0,0,0,0,1.8,30,23.3,1.7,0.2,0,0.2,50.1
2000,"50 to 54 years","Rank of leading causes of death",33,33,21,33,33,33,11,33,33,33,33,14,8,30,1,12,21,6,33,21,30,21,2,21,7,19,16,10,33,9,33,21,18,33,20,5,21,13,30,33,0,0,33,15,3,4,16,21,33,21,0
2000,"55 to 64 years","Number of deaths",0,0,5,0,0,1,62,0,0,0,0,13,42,0,5681,89,9,446,6,4,18,24,3407,16,451,27,131,102,3,298,8,10,19,1,7,384,10,111,4,2,0,0,0,21,445,285,18,0,0,4,1205
2000,"55 to 64 years","Percentage of deaths",0,0,0,0,0,0,0.5,0,0,0,0,0.1,0.3,0,42.5,0.7,0.1,3.3,0,0,0.1,0.2,25.5,0.1,3.4,0.2,1,0.8,0,2.2,0.1,0.1,0.1,0,0.1,2.9,0.1,0.8,0,0,0,0,0,0.2,3.3,2.1,0.1,0,0,0,9
2000,"55 to 64 years","Age-specific mortality rate per 100,000 population",0,0,0.4,0,0,0.1,4.5,0,0,0,0,0.9,3,0,410.4,6.4,0.7,32.2,0.4,0.3,1.3,1.7,246.1,1.2,32.6,2,9.5,7.4,0.2,21.5,0.6,0.7,1.4,0.1,0.5,27.7,0.7,8,0.3,0.1,0,0,0,1.5,32.1,20.6,1.3,0,0,0.3,87
2000,"55 to 64 years","Rank of leading causes of death",37,37,29,37,37,35,13,37,37,37,37,22,14,37,1,12,25,4,28,30,19,16,2,21,3,15,9,11,33,7,26,23,18,35,27,6,23,10,30,34,0,0,37,17,5,8,19,37,37,30,0
2000,"55 to 59 years","Number of deaths",0,0,1,0,0,0,26,0,0,0,0,11,30,0,2369,33,3,194,1,2,4,6,1474,7,179,18,44,54,0,98,5,4,5,1,4,176,5,40,3,0,0,0,0,14,257,164,8,0,0,2,520
2000,"55 to 59 years","Percentage of deaths",0,0,0,0,0,0,0.5,0,0,0,0,0.2,0.5,0,41.1,0.6,0.1,3.4,0,0,0.1,0.1,25.6,0.1,3.1,0.3,0.8,0.9,0,1.7,0.1,0.1,0.1,0,0.1,3.1,0.1,0.7,0.1,0,0,0,0,0.2,4.5,2.8,0.1,0,0,0,9
2000,"55 to 59 years","Age-specific mortality rate per 100,000 population",0,0,0.1,0,0,0,3.4,0,0,0,0,1.4,3.9,0,308.1,4.3,0.4,25.2,0.1,0.3,0.5,0.8,191.7,0.9,23.3,2.3,5.7,7,0,12.7,0.7,0.5,0.7,0.1,0.5,22.9,0.7,5.2,0.4,0,0,0,0,1.8,33.4,21.3,1,0,0,0.3,67.6
2000,"55 to 59 years","Rank of leading causes of death",34,34,31,34,34,34,14,34,34,34,34,17,13,34,1,12,27,4,31,29,24,20,2,19,5,15,10,9,34,8,21,24,21,31,24,6,21,11,27,34,0,0,34,16,3,7,18,34,34,29,0
2000,"60 to 64 years","Number of deaths",0,0,4,0,0,1,36,0,0,0,0,2,12,0,3312,56,6,252,5,2,14,18,1933,9,272,9,87,48,3,200,3,6,14,0,3,208,5,71,1,2,0,0,0,7,188,121,10,0,0,2,685
2000,"60 to 64 years","Percentage of deaths",0,0,0.1,0,0,0,0.5,0,0,0,0,0,0.2,0,43.5,0.7,0.1,3.3,0.1,0,0.2,0.2,25.4,0.1,3.6,0.1,1.1,0.6,0,2.6,0,0.1,0.2,0,0,2.7,0.1,0.9,0,0,0,0,0,0.1,2.5,1.6,0.1,0,0,0,9
2000,"60 to 64 years","Age-specific mortality rate per 100,000 population",0,0,0.6,0,0,0.2,5.8,0,0,0,0,0.3,1.9,0,538.1,9.1,1,40.9,0.8,0.3,2.3,2.9,314,1.5,44.2,1.5,14.1,7.8,0.5,32.5,0.5,1,2.3,0,0.5,33.8,0.8,11.5,0.2,0.3,0,0,0,1.1,30.5,19.7,1.6,0,0,0.3,111.3
2000,"60 to 64 years","Rank of leading causes of death",36,36,26,36,36,34,13,36,36,36,36,30,17,36,1,11,22,4,24,30,15,14,2,19,3,19,9,12,27,6,27,22,15,36,27,5,24,10,34,30,0,0,36,21,7,8,18,36,36,30,0
